phase,generation,replicate,lineage_group,n_SV
control_P15_P25,P15,1.0,lineages_1_5,14
control_P15_P25,P15,2.0,lineages_1_5,13
control_P15_P25,P15,3.0,lineages_1_5,26
control_P15_P25,P15,4.0,lineages_1_5,7
control_P15_P25,P15,5.0,lineages_1_5,14
control_P15_P25,P15,6.0,lineages_6_10,36
control_P15_P25,P15,7.0,lineages_6_10,5
control_P15_P25,P15,8.0,lineages_6_10,4
control_P15_P25,P15,9.0,lineages_6_10,3
control_P15_P25,P15,10.0,lineages_6_10,5
control_P15_P25,P25,1.0,lineages_1_5,26
control_P15_P25,P25,2.0,lineages_1_5,36
control_P15_P25,P25,3.0,lineages_1_5,25
control_P15_P25,P25,4.0,lineages_1_5,21
control_P15_P25,P25,7.0,lineages_6_10,23
control_P15_P25,P25,8.0,lineages_6_10,18
control_P15_P25,P25,9.0,lineages_6_10,16
control_P15_P25,P25,10.0,lineages_6_10,6
stressed_P25_P27,P25,1.0,lineages_1_5,26
stressed_P25_P27,P25,2.0,lineages_1_5,36
stressed_P25_P27,P25,3.0,lineages_1_5,25
stressed_P25_P27,P25,4.0,lineages_1_5,21
stressed_P25_P27,P25,7.0,lineages_6_10,23
stressed_P25_P27,P25,8.0,lineages_6_10,18
stressed_P25_P27,P25,9.0,lineages_6_10,16
stressed_P25_P27,P25,10.0,lineages_6_10,6
stressed_P25_P27,P27,2.0,lineages_1_5,11
stressed_P25_P27,P27,3.0,lineages_1_5,30
stressed_P25_P27,P27,4.0,lineages_1_5,23
stressed_P25_P27,P27,5.0,lineages_1_5,15
stressed_P25_P27,P27,6.0,lineages_6_10,22
stressed_P25_P27,P27,7.0,lineages_6_10,34
stressed_P25_P27,P27,8.0,lineages_6_10,17
stressed_P25_P27,P27,9.0,lineages_6_10,20
stressed_P25_P27,P27,10.0,lineages_6_10,16
control_P30_P50,P30,1.0,lineages_1_5,41
control_P30_P50,P30,2.0,lineages_1_5,1
control_P30_P50,P30,3.0,lineages_1_5,41
control_P30_P50,P30,4.0,lineages_1_5,1
control_P30_P50,P30,5.0,lineages_1_5,1
control_P30_P50,P30,6.0,lineages_6_10,1
control_P30_P50,P30,7.0,lineages_6_10,1
control_P30_P50,P30,8.0,lineages_6_10,5
control_P30_P50,P30,9.0,lineages_6_10,1
control_P30_P50,P30,10.0,lineages_6_10,3
control_P30_P50,P50,1.0,lineages_1_5,22
control_P30_P50,P50,2.0,lineages_1_5,19
control_P30_P50,P50,3.0,lineages_1_5,28
control_P30_P50,P50,4.0,lineages_1_5,6
control_P30_P50,P50,5.0,lineages_1_5,18
control_P30_P50,P50,6.0,lineages_6_10,11
control_P30_P50,P50,7.0,lineages_6_10,22
control_P30_P50,P50,8.0,lineages_6_10,23
control_P30_P50,P50,9.0,lineages_6_10,30
control_P30_P50,P50,10.0,lineages_6_10,33
